raw_venue,normalized_venue
Proceedings of the Symposium on Accurate Scientific Computations,Proceedings Of The Symposium On Accurate Scientific Computations
"RF-Maple: A Logic Programming Language with Functions, Types \& Concurrency","Rf-Maple: A Logic Programming Language With Functions, Types \And Concurrency"
New Review of Academic Librarianship,New Review Of Academic Librarianship
AMBIENT ASSISTED LIVING: ICT-BASED SOLUTIONS IN REAL LIFE SITUATIONS,Ambient Assisted Living: Ict-Based Solutions In Real Life Situations
"Proceedings - IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing","Proceedings - Ieee International Conference On Sensor Networks, Ubiquitous, And Trustworthy Computing"
DLS '09 Proceedings of the 5th symposium on Dynamic languages,Dls Proceedings Of The Symposium On Dynamic Languages
COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,Communications Of The Association For Information Systems
FCCM '01 Proceedings of the the 9th Annual IEEE Symposium on Field-Programmable Custom Computing Machines,Fccm Proceedings Of The The Annual Ieee Symposium On Field-Programmable Custom Computing Machines
CISRC,Cisrc
SIGMETRICS '06/Performance '06 Proceedings of the joint international conference on Measurement and modeling of computer systems,Sigmetrics /Performance Proceedings Of The Joint International Conference On Measurement And Modeling Of Computer Systems
Parallel Computing - special issue on parallel computing for irregular applications,Parallel Computing - Special On Parallel Computing For Irregular Applications
"Computer Security Applications Conference, 1999.",Computer Security Applications Conference
Comput. Intell. Neurosci.,Comput Intell Neurosci
BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES 2011,Biologically Inspired Cognitive Architectures
parallel computing,Parallel Computing
APPLIED MATHEMATICS AND OPTIMIZATION,Applied Mathematics And Optimization
Proceedings of the 17th ACM-IEEE International Conference on Formal Methods and Models for System Design,Proceedings Of The Acm-Ieee International Conference On Formal Methods And Models For System Design
Varanasi,Varanasi
WASPAA,Waspaa
IET RADAR SONAR AND NAVIGATION,"Iet Radar, Sonar And Navigation"
Zurich,Zurich
network operations and management symposium,Ieee Network Operations And Management Symposium
"Algorithmica - Special Issue: European Symposium on Algorithms, Design and Analysis","Algorithmica - Special : European Symposium On Algorithms, Design And Analysis"
2016 IEEE Global Communications Conference (GLOBECOM),Ieee Global Communications Conference
2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII),International Conference On Affective Computing And Intelligent Interaction
Annals of Data Science,Annals Of Data Science
"ADVANCES IN INFORMATION AND COMPUTER SECURITY, IWSEC 2018","Advances In Information And Computer Security, Iwsec"
"Banff, BC","Banff, Bc"
2000 IEEE Wireless Communications and Networking Conference,Ieee Wireless Communications And Networking Conference
IWIPS,Iwips
The Hague,The Hague
"Balancing Reactivity and Social Deliberation in Multi-Agent Systems, From RoboCup to Real-World Applications (selected papers from the ECAI 2000 Workshop and additional contributions)","Balancing Reactivity And Social Deliberation In Multi-Agent Systems, From Robocup To Real-World Applications (Selected Papers From The Ecai Workshop And Additional Contributions"
2017 European Conference on Optical Communication (ECOC),European Conference On Optical Communication
SIGMETRICS '98/PERFORMANCE '98 Proceedings of the 1998 ACM SIGMETRICS joint international conference on Measurement and modeling of computer systems,Sigmetrics /Performance Proceedings Of The Joint International Conference On Measurement And Modeling Of Computer Systems
Accelerator Programming using Directives,Accelerator Programming Using Directives
mAbs,Mabs
Proceedings of the 14th International Conference on Computational Science and Its Applications  ICCSA 2014 - Volume 8584,Iccsa Proceedings Of The International Conference On Computational Science And Its Applications
"ALGORITHMS AND COMPUTATION, PROCEEDINGS","Algorithms And Computation, Proceedings"
T. Computational Collective Intelligence,Trans Computational Collective Intelligence
Workshop on Information Quality in Information Systems,Workshop On Information Quality In Information Systems
annual simulation symposium,Annual Simulation Symposium
Computational Support for Discrete Mathematics,Computational Support For Discrete Mathematics
"WSC07: Winter Simulation Conference
		      Washington D.C.
		    December, 2007",Wsc07: Winter Simulation Conference Washington December
Informatiktage,Informatiktage
Omics : a journal of integrative biology,Omics : A Journal Of Integrative Biology
ICDIM,Icdim
"Control, Automation, Robotics and Vision Conference, 2004. ICARCV 2004 8th","Control, Automation, Robotics And Vision Conference, Icarcv"
"Boise, ID, USA","Boise, Id, Usa"
EDCC-CARS,Edcc-Cars
Euro American Conference on Telematics and Information Systems,Euro American Conference On Telematics And Information Systems
Journal of Systems Architecture: the EUROMICRO Journal - Special issue: AGILE methodologies for software production,Journal Of Systems Architecture: The Euromicro Journal - Special : Agile Methodologies For Software Production
SBCARS,Sbcars
"2008 3RD INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEM AND KNOWLEDGE ENGINEERING, VOLS 1 AND 2","International Conference On Intelligent System And Knowledge Engineering, Vols And"
Proceedings - Real-Time Systems Symposium,Proceedings - Real-Time Systems Symposium
San Luis Potosi,San Luis Potosi
2019 IEEE 27th International Requirements Engineering Conference (RE),Ieee International Requirements Engineering Conference
Wearable Computers,Wearable Computers
Computational Geometry: Theory and Applications - Fourth CGC workshop on computional geometry,Computational Geometry: Theory And Applications - Fourth Cgc Workshop On Computional Geometry
A Unified Framework for the Specification and Run-time Detection of Dynamic Properties in Distributed Computations,A Unified Framework For The Specification And Run-Time Detection Of Dynamic Properties In Distributed Computations
International Symposium on Computer Networks,International Symposium On Computer Networks
IDEAS '97 Proceedings of the 1997 International Symposium on Database Engineering & Applications,Ideas Proceedings Of The International Symposium On Database Engineering And Applications
SoCPaR,Socpar
A Neural Network Approach to the Consistent Labeling Problem,A Neural Network Approach To The Consistent Labeling Problem
ICAA 2014 Proceedings of the First International Conference on Applied Algorithms - Volume 8321,Icaa Proceedings Of The First International Conference On Applied Algorithms
PAP@PKDD/ECML,Pap@Pkdd/Ecml
international database engineering and applications symposium,International Database Engineering And Application Symposium
international conference on web engineering,International Conference On Web Engineering
2016 International Conference on Design and Technology of Integrated Systems in Nanoscale Era (DTIS),International Conference On Design And Technology Of Integrated Systems In Nanoscale Era
WASSA@NAACL-HLT,Wassa@Naacl-Hlt
2019 IEEE Custom Integrated Circuits Conference (CICC),Ieee Custom Integrated Circuits Conference
"Machines, Computations, and Universality","Machines, Computations, And Universality"
ICC 98 - 1998 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS VOLS 1-3,Icc - Ieee International Conference On Communications Vols
LLVM-HPC@SC,Llvm-Hpc@Sc
EvoApplications,Evoapplications
Readings in agents,Readings In Agents
Image and Graphics,Image And Graphics
MCPR 2015 Proceedings of the 7th Mexican Conference on Pattern Recognition - Volume 9116,Mcpr Proceedings Of The Mexican Conference On Pattern Recognition
R Journal,R Journal
Parallel Computing - Special issue on applications: parallel computing in regional weather modeling,Parallel Computing - Special On Applications: Parallel Computing In Regional Weather Modeling
2012 18th IEEE International Conference on Networks (ICON),Ieee International Conference On Networks
PPAA@PPoPP,Ppaa@Ppopp
Journal of VLSI Signal Processing Systems - Special issue on high performance clock distribution networks,Journal Of Vlsi Signal Processing Systems - Special On High Performance Clock Distribution Networks
IACR Cryptology ePrint Archive,Iacr Cryptology Eprint Archive
LATICE '15 Proceedings of the 2015 International Conference on Learning and Teaching in Computing and Engineering,Latice Proceedings Of The International Conference On Teaching And Learning In Computing And Engineering
GREENS,Greens
2013 International Workshop on High Mobility Wireless Communications (HMWC),International Workshop On High Mobility Wireless Communications
embedded and ubiquitous computing,Embedded And Ubiquitous Computing
2018 17th International Conference on Information Technology Based Higher Education and Training (ITHET),International Conference On Information Technology Based Higher Education And Training
HICSS '99 Proceedings of the Thirty-Second Annual Hawaii International Conference on System Sciences-Volume 1 - Volume 1,Hicss Proceedings Of The Thirty-First Annual Hawaii International Conference On System Sciences
NANOSCALE,Nanoscale
SRDS '97 Proceedings of the 16th Symposium on Reliable Distributed Systems,Srds Proceedings Of The The Ieee Symposium On Reliable Distributed Systems
RoCHI,Rochi
Decision Support Systems - Special issue on economics of electronic commerce,Decision Support Systems - Special On Economics Of Electronic Commerce
2016 ACM/EDAC/IEEE DESIGN AUTOMATION CONFERENCE (DAC),Acm/Edac/Ieee Design Automation Conference
AGENT AND MULTI-AGENT SYSTEMS: TECHNOLOGY AND APPLICATIONS,Agent And Multi Agent Systems Technologies And Applications
ICIC (2),Icic
DIYNetworking@MobiSys,Diynetworking@Mobisys
Cluster Computing and the Grid,Cluster Computing And The Grid
European researcher,European Researcher
Proceedings of the Workshop on Interactive Data Mining,Proceedings Of The Workshop On Interactive Data Mining
SBBD,Sbbd
Kommunikation in Verteilten Systemen,Kommunikation In Verteilten Systemen
ACSE '00 Proceedings of the Australasian conference on Computing education,Acse Proceedings Of The Australasian Conference On Computing Education
"HIGH PERFORMANCE COMPUTING IN SCIENCE AND ENGINEERING, HPCSE 2015","High Performance Computing In Science And Engineering, Hpcse"
"VRCAI '18: International Conference on Virtual Reality Continuum and its Applications in Industry
		      Tokyo
		      Japan
		    December, 2018",Vrcai : International Conference On Virtual Reality Continuum And Its Applications In Industry Tokyo Japan December
GeoInformatica,Geoinformatica
Algebraic and Geometric Reasoning using Dixon Resultants,Algebraic And Geometric Reasoning Using Dixon Resultants
2011 PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON E-BUSINESS (ICE-B 2011),Ice-B : Proceedings Of The International Conference On E-Business
"Instrumentation and Measurement Technology Conference, 1997. IMTC/97. Proceedings. Sensing, Processing, Networking., IEEE","Instrumentation And Measurement Technology Conference, Imtc/ Proceedings Sensing, Processing, Networking, Ieee"
PACIFIC SYMPOSIUM ON BIOCOMPUTING 2007,Pacific Symposium On Biocomputing
"Proceedings - 2008 IEEE 8th International Conference on Computer and Information Technology, CIT 2008","Proceedings - Ieee International Conference On Computer And Information Technology, Cit"
2017 IEEE Third International Conference on Big Data Computing Service and Applications (BigDataService),Ieee Second International Conference On Big Data Computing Service And Applications
Proceedings of the 11th annual SIGCSE conference on Innovation and technology in computer science education,Proceedings Of The Annual Sigcse Conference On Innovation And Technology In Computer Science Education
Proceedings of the international workshop on Expert systems in engineering : Principles and applications: Principles and applications,Proceedings Of The International Workshop On Expert Systems In Engineering : Principles And Applications: Principles And Applications
